timestamp,road,distance_meters,duration_free_sec,duration_traffic_sec,volume_index
2025-09-11 07:06:06,West,1092,143,159,1.11
2025-09-11 07:06:06,West,1668,273,288,1.05
2025-09-11 07:06:06,South,1478,234,250,1.07
2025-09-11 07:06:06,South,1248,231,290,1.26
2025-09-11 07:06:06,East,1278,183,183,1.0
2025-09-11 07:06:06,East,736,126,143,1.13
2025-09-11 07:06:06,North,962,121,133,1.1
2025-09-11 07:06:06,North,776,95,95,1.0
2025-09-11 07:11:17,West,1092,143,167,1.17
2025-09-11 07:11:17,West,1668,273,293,1.07
2025-09-11 07:11:17,South,1478,234,260,1.11
2025-09-11 07:11:17,South,1248,231,325,1.41
2025-09-11 07:11:17,East,1278,183,183,1.0
2025-09-11 07:11:17,East,736,126,150,1.19
2025-09-11 07:11:17,North,962,121,125,1.03
2025-09-11 07:11:17,North,776,95,94,0.99
2025-09-11 07:16:28,West,1092,143,176,1.23
2025-09-11 07:16:28,West,1668,273,293,1.07
2025-09-11 07:16:28,South,1478,234,252,1.08
2025-09-11 07:16:28,South,1248,231,286,1.24
2025-09-11 07:16:28,East,1278,183,175,0.96
2025-09-11 07:16:28,East,736,126,149,1.18
2025-09-11 07:16:28,North,962,121,126,1.04
2025-09-11 07:16:28,North,776,95,96,1.01
2025-09-11 07:21:38,West,1092,143,182,1.27
2025-09-11 07:21:38,West,1668,273,309,1.13
2025-09-11 07:21:38,South,1478,234,253,1.08
2025-09-11 07:21:38,South,1248,231,269,1.16
2025-09-11 07:21:38,East,1278,183,175,0.96
2025-09-11 07:21:38,East,736,126,166,1.32
2025-09-11 07:21:38,North,962,121,132,1.09
2025-09-11 07:21:38,North,776,95,98,1.03
2025-09-11 07:26:44,West,1092,143,174,1.22
2025-09-11 07:26:44,West,1668,273,296,1.08
2025-09-11 07:26:44,South,1478,234,270,1.15
2025-09-11 07:26:44,South,1248,231,318,1.38
2025-09-11 07:26:44,East,1278,183,194,1.06
2025-09-11 07:26:44,East,736,126,182,1.44
2025-09-11 07:26:44,North,962,121,129,1.07
2025-09-11 07:26:44,North,776,95,93,0.98
2025-09-11 07:39:21,West,1092,143,180,1.26
2025-09-11 07:39:21,West,1668,273,289,1.06
2025-09-11 07:39:21,South,1478,234,269,1.15
2025-09-11 07:39:21,South,1248,231,280,1.21
2025-09-11 07:39:21,East,1278,183,186,1.02
2025-09-11 07:39:21,East,736,126,183,1.45
2025-09-11 07:39:21,North,962,121,138,1.14
2025-09-11 07:39:21,North,776,95,101,1.06
2025-09-11 07:44:27,West,1092,143,184,1.29
2025-09-11 07:44:27,West,1668,273,290,1.06
2025-09-11 07:44:27,South,1478,234,268,1.15
2025-09-11 07:44:27,South,1248,231,284,1.23
2025-09-11 07:44:27,East,1278,183,184,1.01
2025-09-11 07:44:27,East,736,126,156,1.24
2025-09-11 07:44:27,North,962,121,135,1.12
2025-09-11 07:44:27,North,776,95,97,1.02
2025-09-11 07:49:34,West,1092,143,207,1.45
2025-09-11 07:49:34,West,1668,273,290,1.06
2025-09-11 07:49:34,South,1478,234,265,1.13
2025-09-11 07:49:34,South,1248,231,279,1.21
2025-09-11 07:49:34,East,1278,183,181,0.99
2025-09-11 07:49:34,East,736,126,188,1.49
2025-09-11 07:49:34,North,962,121,126,1.04
2025-09-11 07:49:34,North,776,95,99,1.04
2025-09-11 07:54:43,West,1092,143,228,1.59
2025-09-11 07:54:43,West,1668,273,291,1.07
2025-09-11 07:54:43,South,1478,234,270,1.15
2025-09-11 07:54:43,South,1248,231,307,1.33
2025-09-11 07:54:43,East,1278,183,181,0.99
2025-09-11 07:54:43,East,736,126,175,1.39
2025-09-11 07:54:43,North,962,121,123,1.02
2025-09-11 07:54:43,North,776,95,98,1.03
2025-09-11 07:59:49,West,1092,143,235,1.64
2025-09-11 07:59:49,West,1668,273,282,1.03
2025-09-11 07:59:49,South,1478,234,279,1.19
2025-09-11 07:59:49,South,1248,231,299,1.29
2025-09-11 07:59:49,East,1278,183,185,1.01
2025-09-11 07:59:49,East,736,126,218,1.73
2025-09-11 07:59:49,North,962,121,130,1.07
2025-09-11 07:59:49,North,776,95,100,1.05
